Fiscal Year,Month (abbv),Component,Region,Area of Responsibility,Inbound/Outbound,Mode of Transportation,Seizure Type,Category,Event ID,Quantity Seized
2024,DEC,Office of Field Operations,Central/Coastal/Other,Baltimore Field Office,INBOUND,Air,Ammunition & Gun Parts,Magazine,3460425857.0,9.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Baltimore Field Office,INBOUND,Air,Ammunition & Gun Parts,Other Ammunition & Gun Parts,3460425857.0,5.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),5115533108.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),4752371815.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),6280442833.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),3150252962.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),9077434597.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),5556437324.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),448166224.0,4.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),6103585428.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),1390264016.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),1231783545.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),7043565493.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),1672096447.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),923530594.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),5290413334.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),1868262208.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),9821226688.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),4740921207.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),9680506825.0,3.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),5575782765.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),946611147.0,4.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),9303266043.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),4547650475.0,4.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),1099333323.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),4510577738.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),3166556668.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),3062790422.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),7491225095.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),98945377.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),6680203015.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),5517539065.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),8190927878.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),4786255666.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),6018510289.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),7645117478.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),5012174197.0,2.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),1797214891.0,1.0
2024,DEC,Office of Field Operations,Central/Coastal/Other,Chicago Field Office,INBOUND,Air,Ammunition & Gun Parts,Silencer (Muffler or Sound Moderator),96069204.0,1.0
